plotnr,Date,diameter,height,treat
17,10/1/2008,3.306944444,3.419722222,C
17,4/15/2012,12.76419753,12.29555396,C
17,2/1/2010,9.053611111,7.431126158,C
17,1/1/2009,5.263636364,4.915454545,C
17,6/1/2011,11.71666667,10.30138889,C
17,12/1/2009,9.322727273,7.239090909,C
2,4/1/2008,2.890147059,3.405052417,I
2,11/1/2007,NA,NA,I
2,5/1/2008,3.17,3.466,I
2,9/1/2008,3.995,3.581,I
2,12/1/2007,NA,NA,I
2,3/1/2008,2.35,2.958,I
2,10/1/2008,4.595142857,4.037857143,I
2,10/1/2007,NA,NA,I
2,4/15/2012,16.68987342,16.74587909,I
2,12/1/2008,6.009,5.457,I
2,2/1/2010,12.18714286,10.70712677,I
2,1/1/2008,1.115,1.9125,I
2,1/1/2009,6.99,6.069,I
2,3/1/2010,12.035,12.016,I
2,7/1/2008,3.526,3.551,I
2,9/1/2010,14.24571429,12.19492327,I
2,7/1/2009,9.946428571,8.711857143,I
2,6/1/2011,15.79357143,15.82714286,I
2,12/1/2009,11.175,10.025,I
2,3/1/2009,8.05,7.452,I
22,7/1/2008,3.544,3.446,F
22,1/1/2008,1.015714286,2.118571429,F
22,4/1/2008,2.758309859,3.309232821,F
22,11/1/2007,NA,NA,F
22,12/1/2007,NA,NA,F
22,3/1/2009,5.98,5.526,F
22,9/1/2008,3.785,3.43,F
22,3/1/2010,9.555,8.193,F
22,3/1/2008,2.443,3.023,F
22,9/1/2010,10.9028169,8.482684521,F
22,10/1/2007,NA,NA,F
22,4/15/2012,12.59263158,12.07202656,F
22,12/1/2008,4.928,4.481,F
22,2/1/2010,9.301408451,7.564212505,F
22,5/1/2008,3.28,3.411,F
22,1/1/2009,5.285,4.884,F
22,7/1/2009,8.164084507,6.674225352,F
22,6/1/2011,12.32605634,10.44647887,F
22,10/1/2008,3.828309859,3.694507042,F
22,12/1/2009,9.2,6.966,F
23,12/1/2007,NA,NA,IL
23,7/1/2008,3.102,3.186,IL
23,3/1/2009,8.07,6.674,IL
23,1/1/2008,0.895714286,1.854285714,IL
23,10/1/2007,NA,NA,IL
23,4/1/2008,2.601408451,3.105918584,IL
23,12/1/2008,5.698,4.727,IL
23,11/1/2007,NA,NA,IL
23,5/1/2008,2.92,3.144,IL
23,1/1/2009,6.785,5.505,IL
23,3/1/2010,11.985,10.58,IL
23,3/1/2008,2.214,2.807,IL
23,9/1/2010,13.80434783,11.68497996,IL
23,9/1/2008,3.51,3.17,IL
23,7/1/2009,9.711971831,7.843380282,IL
23,10/1/2008,3.897887324,3.597464789,IL
23,12/1/2009,11.245,8.934,IL
23,4/15/2012,15.6702381,16.06605761,IL
23,2/1/2010,11.69859155,9.865287605,IL
23,6/1/2011,15.35571429,14.13992623,IL
24,7/1/2008,2.208,2.802,I
24,4/1/2008,1.8425,2.654951658,I
24,11/1/2007,NA,NA,I
